,nParticle,Particle_m,Particle_q,Particle_eta,Particle_orivtx_ind,Particle_e_log,Particle_p_log,Particle_pt_log,Thrust_err_log,Particle_phi_sin,Particle_phi_cos,Particle_angle_to_thrust_sin,Particle_angle_to_thrust_cos,Vertex_ntracks,Vertex_z,Vertex_chi2_log,Vertex_m_log,Vertex_err_log
nParticle,1.0,0.07193558932243245,5.354503380767976e-05,0.00013360107911624801,0.07456994328444866,0.035641343488453756,0.030610980131437218,0.05255423978044543,0.0064679110684830315,-0.00016159012183973232,-9.394739152780227e-05,0.15429534298335854,-0.0059623713552122,0.10509544257178578,-0.0006944655105249774,-0.07781693717602779,-0.1931402996449506,0.04904068586946726
Particle_m,0.07193558932243245,1.0,0.00021987493978195823,-9.791668398089627e-05,-0.021854029362058502,0.3443415602892344,0.3137684791467055,0.3023895067762693,0.0002933341191677841,-5.717894853997353e-05,0.00028335225005641037,-0.011286129940946335,-0.015802082300073118,0.03124286530210699,-0.000462352774086179,-0.0027195302965048796,0.003996980844436923,0.009348207751824983
Particle_q,5.354503380767976e-05,0.00021987493978195823,1.0,-0.001378864617703792,0.00021735084570795188,0.0001825734846718497,0.00017567770205975777,0.0002298657062742686,6.112969962196171e-05,1.3616025483782863e-05,-0.00016532041257179554,-0.0002061834513459816,5.018410658689547e-05,-7.803551358522107e-05,6.249509522602081e-05,-7.704702314645486e-05,-8.72357780456637e-05,0.00010114909134565309
Particle_eta,0.00013360107911624801,-9.791668398089627e-05,-0.001378864617703792,1.0,-0.0022643147586791086,-0.00026020325521180604,-0.0002463611509606854,0.00020393050398829268,9.117926790187769e-05,0.0013204758842375235,-0.00012265986188421908,0.0005521676216772242,0.000141934571894307,0.00013616732540936913,0.008823481208104167,0.00011768315988469945,-7.878855131412327e-05,-0.0005105858591956655
Particle_orivtx_ind,0.07456994328444866,-0.021854029362058502,0.00021735084570795188,-0.0022643147586791086,1.0,0.1874253808224353,0.1906424425382449,0.1835962868291653,-0.005675379137026723,0.0005744662964922625,-0.0006229049052436573,-0.2635824336066449,0.019591422791956886,-0.3021948997352318,7.10772166814449e-05,-0.0516016318937369,-0.2885243628459729,0.1434344065769438
Particle_e_log,0.035641343488453756,0.3443415602892344,0.0001825734846718497,-0.00026020325521180604,0.1874253808224353,1.0,0.9978981931055898,0.946535730202232,-0.0042590603313642835,-0.00017913992114136173,0.00017969231400587814,-0.5414765673892405,0.016964408245322634,-0.005993392419107256,9.52051190395274e-05,-0.003036417424022878,-0.01944917177651577,0.009699150252497499
Particle_p_log,0.030610980131437218,0.3137684791467055,0.00017567770205975777,-0.0002463611509606854,0.1906424425382449,0.9978981931055898,1.0,0.9476451678874199,-0.00424992817171366,-0.0001802871009974771,0.00020619390826137146,-0.551760363444147,0.016964044108978657,-0.007489588416543603,8.723655103500142e-05,-0.002485900587201633,-0.018666034082851383,0.008931192840657352
Particle_pt_log,0.05255423978044543,0.3023895067762693,0.0002298657062742686,0.00020393050398829268,0.1835962868291653,0.946535730202232,0.9476451678874199,1.0,-0.021466899084969748,-0.00021524878530985422,0.000296972450352476,-0.4995706453548206,0.015712519340026286,-0.0033915182272060166,0.0008742997624656421,0.001649464307722562,-0.025388225278828617,-0.019976547893459103
Thrust_err_log,0.0064679110684830315,0.0002933341191677841,6.112969962196171e-05,9.117926790187769e-05,-0.005675379137026723,-0.0042590603313642835,-0.00424992817171366,-0.021466899084969748,1.0,0.0001255306534392552,0.000738472624216587,0.003916087662576204,-0.0008688080741406877,0.005512308626691427,0.0015443060090268594,-0.0015662865009248245,0.004106847916903867,0.009482579472175748
Particle_phi_sin,-0.00016159012183973232,-5.717894853997353e-05,1.3616025483782863e-05,0.0013204758842375235,0.0005744662964922625,-0.00017913992114136173,-0.0001802871009974771,-0.00021524878530985422,0.0001255306534392552,1.0,-0.0014951241116993195,0.0006916988712878201,0.000533002618550162,0.00025226225823741545,0.00023124625787297566,0.0008557720090214734,0.0005618683316006553,-0.00035281996982669696
