,nParticle,Particle_m,Particle_q,Particle_eta,Particle_orivtx_ind,Particle_e_log,Particle_p_log,Particle_pt_log,Thrust_err_log,Particle_phi_sin,Particle_phi_cos,Particle_angle_to_thrust_sin,Particle_angle_to_thrust_cos,Vertex_ntracks,Vertex_z,Vertex_chi2_log,Vertex_m_log,Vertex_err_log
nParticle,1.0,0.14700540197696815,5.316398362274119e-05,5.978682626936241e-05,0.04025297465001506,0.03478151080764288,0.03246662319682244,0.05421505901563291,0.028797940225664804,-0.00012659165195541387,-0.00016901404158729247,0.16403173712624003,0.027145488956706515,0.15320213991351825,-0.0019301273684101325,-0.10054319484139003,-0.183719412001934,0.029707750526302656
Particle_m,0.14700540197696815,1.0,5.666166983094289e-05,-0.00010921389726012555,-0.045665084559878256,0.3223411368632565,0.29687188685420957,0.2868639201338167,0.0061950116768729946,-7.826431380659752e-05,0.00042498875354278,0.023776094811954463,-0.003941471499951387,0.07074984077123024,-0.000832025633531895,-0.01666193904869792,-0.00903852255913121,0.01445696062911278
Particle_q,5.316398362274119e-05,5.666166983094289e-05,1.0,-0.001413603520854559,0.00027978310820628413,0.00015173084681503944,0.0001356498357010859,0.00020427996948196668,5.733497773793463e-05,5.208186269812399e-05,-0.00017784403871347234,-0.0002603242518167804,5.5827792938137574e-05,-9.456399891145463e-05,4.5305067269894334e-05,-7.419384621100787e-05,-0.00012126228799893257,9.754307093188736e-05
Particle_eta,5.978682626936241e-05,-0.00010921389726012555,-0.001413603520854559,1.0,-0.0011175611114071168,-0.00022102280300571335,-0.0002167678241480898,0.00017291103284446064,-0.00010910746508668784,0.0012991734711253124,-0.00010274024226362872,0.0004442149135265354,-0.0006010975143775146,-7.86390802890291e-05,0.026725211026456513,-0.000273724188808743,-0.00020736757408538066,-0.0006968082970372575
Particle_orivtx_ind,0.04025297465001506,-0.045665084559878256,0.00027978310820628413,-0.0011175611114071168,1.0,0.24010711117572725,0.24440739830023753,0.23068685815967113,-0.008785637611076778,0.0003179578496121979,-0.0004214315116196749,-0.32786744918545463,-0.009721167142593246,-0.4067124938937804,0.0003514374744444359,-0.07420782298724954,-0.33510866292980324,0.13317681995930553
Particle_e_log,0.03478151080764288,0.3223411368632565,0.00015173084681503944,-0.00022102280300571335,0.24010711117572725,1.0,0.9980245793711576,0.9408734892118552,-0.0037902437626335665,-0.0001572752462215384,0.0002138283173454214,-0.5807248873448854,-0.0063307164710812375,-0.012681490246320737,0.00010554330675685954,-0.004561007614268113,-0.015892667179279774,0.007533100876767796
Particle_p_log,0.03246662319682244,0.29687188685420957,0.0001356498357010859,-0.0002167678241480898,0.24440739830023753,0.9980245793711576,1.0,0.9425545803637656,-0.0039413056324090305,-0.00014025605381650895,0.00024874391417517734,-0.5889370500762695,-0.00693514095869339,-0.014157508312026714,0.00011872435566429901,-0.004189420189161123,-0.016006633396496266,0.00697571745432316
Particle_pt_log,0.05421505901563291,0.2868639201338167,0.00020427996948196668,0.00017291103284446064,0.23068685815967113,0.9408734892118552,0.9425545803637656,1.0,-0.027464101898907026,-0.00022527571205097958,0.0003190041482964396,-0.5373306670530265,-0.0038840763480217353,-0.008663255704212142,0.0007819527651417721,-0.003209242946690821,-0.022586008182772652,-0.028752212929264855
Thrust_err_log,0.028797940225664804,0.0061950116768729946,5.733497773793463e-05,-0.00010910746508668784,-0.008785637611076778,-0.0037902437626335665,-0.0039413056324090305,-0.027464101898907026,1.0,-9.339455244693178e-05,0.0009652574174296975,0.025427579798874004,0.0029982653710921036,0.018555671547113368,-0.00096959082602554,0.0018417186688045044,0.006973715486364158,0.018128465799858634
Particle_phi_sin,-0.00012659165195541387,-7.826431380659752e-05,5.208186269812399e-05,0.0012991734711253124,0.0003179578496121979,-0.0001572752462215384,-0.00014025605381650895,-0.00022527571205097958,-9.339455244693178e-05,1.0,-0.0011491139750779789,0.0005118819423122347,0.000681187519033666,-0.00022653333843485502,0.00022970665498713122,0.0010561080884132082,7.230113228141072e-05,4.980668363337088e-05
