,Particle_m,Particle_q,Particle_eta,Particle_e_log,Particle_p_log,Particle_pt_log,Thrust_err_log,Particle_phi_sin,Particle_phi_cos,Particle_angle_to_thrust_sin,Particle_angle_to_thrust_cos,Vertex_ntracks,Vertex_z,Vertex_chi2_log,Vertex_m_log,Vertex_err_log,Particle_ID
Particle_m,1.0,5.666166983094289e-05,-0.00010921389726012555,0.3223411368632565,0.29687188685420957,0.2868639201338167,0.0061950116768729946,-7.826431380659752e-05,0.00042498875354278,0.023776094811954463,-0.003941471499951387,0.07074984077123024,-0.000832025633531895,-0.01666193904869792,-0.00903852255913121,0.01445696062911278,0.05147886316164811
Particle_q,5.666166983094289e-05,1.0,-0.001413603520854559,0.00015173084681503944,0.0001356498357010859,0.00020427996948196668,5.733497773793463e-05,5.208186269812399e-05,-0.00017784403871347234,-0.0002603242518167804,5.5827792938137574e-05,-9.456399891145463e-05,4.5305067269894334e-05,-7.419384621100787e-05,-0.00012126228799893257,9.754307093188736e-05,0.9209170737126214
Particle_eta,-0.00010921389726012555,-0.001413603520854559,1.0,-0.00022102280300571335,-0.0002167678241480898,0.00017291103284446064,-0.00010910746508668784,0.0012991734711253124,-0.00010274024226362872,0.0004442149135265354,-0.0006010975143775146,-7.86390802890291e-05,0.026725211026456513,-0.000273724188808743,-0.00020736757408538066,-0.0006968082970372575,-0.001860108314066604
Particle_e_log,0.3223411368632565,0.00015173084681503944,-0.00022102280300571335,1.0,0.9980245793711576,0.9408734892118552,-0.0037902437626335665,-0.0001572752462215384,0.0002138283173454214,-0.5807248873448854,-0.0063307164710812375,-0.012681490246320737,0.00010554330675685954,-0.004561007614268113,-0.015892667179279774,0.007533100876767796,0.016598779047772773
Particle_p_log,0.29687188685420957,0.0001356498357010859,-0.0002167678241480898,0.9980245793711576,1.0,0.9425545803637656,-0.0039413056324090305,-0.00014025605381650895,0.00024874391417517734,-0.5889370500762695,-0.00693514095869339,-0.014157508312026714,0.00011872435566429901,-0.004189420189161123,-0.016006633396496266,0.00697571745432316,0.01557202012489009
Particle_pt_log,0.2868639201338167,0.00020427996948196668,0.00017291103284446064,0.9408734892118552,0.9425545803637656,1.0,-0.027464101898907026,-0.00022527571205097958,0.0003190041482964396,-0.5373306670530265,-0.0038840763480217353,-0.008663255704212142,0.0007819527651417721,-0.003209242946690821,-0.022586008182772652,-0.028752212929264855,0.015060453343692768
Thrust_err_log,0.0061950116768729946,5.733497773793463e-05,-0.00010910746508668784,-0.0037902437626335665,-0.0039413056324090305,-0.027464101898907026,1.0,-9.339455244693178e-05,0.0009652574174296975,0.025427579798874004,0.0029982653710921036,0.018555671547113368,-0.00096959082602554,0.0018417186688045044,0.006973715486364158,0.018128465799858634,9.336383144787521e-05
Particle_phi_sin,-7.826431380659752e-05,5.208186269812399e-05,0.0012991734711253124,-0.0001572752462215384,-0.00014025605381650895,-0.00022527571205097958,-9.339455244693178e-05,1.0,-0.0011491139750779789,0.0005118819423122347,0.000681187519033666,-0.00022653333843485502,0.00022970665498713122,0.0010561080884132082,7.230113228141072e-05,4.980668363337088e-05,-9.871756793512216e-05
Particle_phi_cos,0.00042498875354278,-0.00017784403871347234,-0.00010274024226362872,0.0002138283173454214,0.00024874391417517734,0.0003190041482964396,0.0009652574174296975,-0.0011491139750779789,1.0,0.00010064503221405584,-0.0009632665121906556,-0.0003455656711291927,-0.00019578812491114514,-0.0006674912966388982,-0.000578335177780183,0.00037165146176011313,-0.0001122258191668774
Particle_angle_to_thrust_sin,0.023776094811954463,-0.0002603242518167804,0.0004442149135265354,-0.5807248873448854,-0.5889370500762695,-0.5373306670530265,0.025427579798874004,0.0005118819423122347,0.00010064503221405584,1.0,-0.01763088348794614,0.13452186127156612,-0.0014035335241456672,-0.008964045373854151,0.04535847121515036,-0.025085137568204352,-0.0031808328897194333
Particle_angle_to_thrust_cos,-0.003941471499951387,5.5827792938137574e-05,-0.0006010975143775146,-0.0063307164710812375,-0.00693514095869339,-0.0038840763480217353,0.0029982653710921036,0.000681187519033666,-0.0009632665121906556,-0.01763088348794614,1.0,0.02411382159792831,-5.0974150718792004e-05,8.012422346679823e-05,0.011150356885180377,-0.001612029928273563,-0.004430531437383109
Vertex_ntracks,0.07074984077123024,-9.456399891145463e-05,-7.86390802890291e-05,-0.012681490246320737,-0.014157508312026714,-0.008663255704212142,0.018555671547113368,-0.00022653333843485502,-0.0003455656711291927,0.13452186127156612,0.02411382159792831,1.0,-0.0006327528984899997,0.18701959906263532,0.7719278887674493,-0.44018108433057185,0.005497543083799491
Vertex_z,-0.000832025633531895,4.5305067269894334e-05,0.026725211026456513,0.00010554330675685954,0.00011872435566429901,0.0007819527651417721,-0.00096959082602554,0.00022970665498713122,-0.00019578812491114514,-0.0014035335241456672,-5.0974150718792004e-05,-0.0006327528984899997,1.0,0.002020516516306924,0.0019453247320982347,-0.0018887604186911937,6.06068365503366e-06
Vertex_chi2_log,-0.01666193904869792,-7.419384621100787e-05,-0.000273724188808743,-0.004561007614268113,-0.004189420189161123,-0.003209242946690821,0.0018417186688045044,0.0010561080884132082,-0.0006674912966388982,-0.008964045373854151,8.012422346679823e-05,0.18701959906263532,0.002020516516306924,1.0,0.23470013391783517,-0.09873088805063492,0.001636150617849158
Vertex_m_log,-0.00903852255913121,-0.00012126228799893257,-0.00020736757408538066,-0.015892667179279774,-0.016006633396496266,-0.022586008182772652,0.006973715486364158,7.230113228141072e-05,-0.000578335177780183,0.04535847121515036,0.011150356885180377,0.7719278887674493,0.0019453247320982347,0.23470013391783517,1.0,-0.5959551766109207,0.006117918126970403
Vertex_err_log,0.01445696062911278,9.754307093188736e-05,-0.0006968082970372575,0.007533100876767796,0.00697571745432316,-0.028752212929264855,0.018128465799858634,4.980668363337088e-05,0.00037165146176011313,-0.025085137568204352,-0.001612029928273563,-0.44018108433057185,-0.0018887604186911937,-0.09873088805063492,-0.5959551766109207,1.0,-0.002881551534699671
Particle_ID,0.05147886316164811,0.9209170737126214,-0.001860108314066604,0.016598779047772773,0.01557202012489009,0.015060453343692768,9.336383144787521e-05,-9.871756793512216e-05,-0.0001122258191668774,-0.0031808328897194333,-0.004430531437383109,0.005497543083799491,6.06068365503366e-06,0.001636150617849158,0.006117918126970403,-0.002881551534699671,1.0
